Location,Status of Medicaid Expansion Decision,Expansion Implementation Date,Footnotes
United States,Adopted: 41 states (incl. DC)  Not Adopted: 10 states,,
Alabama,Not Adopted,N/A,
Alaska,Adopted,9/1/2015,
Arizona,Adopted,1/1/2014,1
Arkansas,Adopted,1/1/2014,1
California,Adopted,1/1/2014,
Colorado,Adopted,1/1/2014,
Connecticut,Adopted,1/1/2014,
Delaware,Adopted,1/1/2014,
District of Columbia,Adopted,1/1/2014,
Florida,Not Adopted,N/A,
Georgia,Not Adopted,N/A,
Hawaii,Adopted,1/1/2014,
Idaho,Adopted,1/1/2020,"2, 3"
Illinois,Adopted,1/1/2014,1
Indiana,Adopted,2/1/2015,1
Iowa,Adopted,1/1/2014,3
Kansas,Not Adopted,N/A,
Kentucky,Adopted,1/1/2014,
Louisiana,Adopted,7/1/2016,
Maine,Adopted,1/10/2019,4
Maryland,Adopted,1/1/2014,
Massachusetts,Adopted,1/1/2014,
Michigan,Adopted,4/1/2014,
Minnesota,Adopted,1/1/2014,
Mississippi,Not Adopted,N/A,
Missouri,Adopted,10/1/2021,5
Montana,Adopted,1/1/2016,1
Nebraska,Adopted,10/1/2020,6
Nevada,Adopted,1/1/2014,
New Hampshire,Adopted,8/15/2014,1
New Jersey,Adopted,1/1/2014,
New Mexico,Adopted,1/1/2014,3
New York,Adopted,1/1/2014,
North Carolina,Adopted,12/1/2023,"1, 7"
North Dakota,Adopted,1/1/2014,
Ohio,Adopted,1/1/2014,1
Oklahoma,Adopted,7/1/2021,8
Oregon,Adopted,1/1/2014,
Pennsylvania,Adopted,1/1/2015,
Rhode Island,Adopted,1/1/2014,
South Carolina,Not Adopted,N/A,
South Dakota,Adopted,7/1/2023,9
Tennessee,Not Adopted,N/A,
Texas,Not Adopted,N/A,
Utah,Adopted,1/1/2020,"1, 10"
Vermont,Adopted,1/1/2014,
Virginia,Adopted,1/1/2019,1
Washington,Adopted,1/1/2014,
West Virginia,Adopted,1/1/2014,
Wisconsin,Not Adopted,N/A,
Wyoming,Not Adopted,N/A,
